Precursor Name, Precursor Formula, Precursor Adduct, Precursor Charge
H9N5F4,C131O87N8H218,[M+H3],3
H9N5S1,C118O79N9H195,[M+H1],1
H9N5S1,C118O79N9H195,[M+H2],2
H9N5S1,C118O79N9H195,[M+H3],3
H9N5S1F1,C124O83N9H205,[M+H1],1
H9N5S1F1,C124O83N9H205,[M+H2],2
H9N5S1F1,C124O83N9H205,[M+H3],3
H9N5S1F2,C130O87N9H215,[M+H1],1
H9N5S1F2,C130O87N9H215,[M+H2],2
H9N5S1F2,C130O87N9H215,[M+H3],3
H9N5S1F3,C136O91N9H225,[M+H1],1
H9N5S1F3,C136O91N9H225,[M+H2],2
H9N5S1F3,C136O91N9H225,[M+H3],3
H9N5S1F4,C142O95N9H235,[M+H1],1
H9N5S1F4,C142O95N9H235,[M+H2],2
H9N5S1F4,C142O95N9H235,[M+H3],3
H9N5S2,C129O87N10H212,[M+H1],1
H9N5S2,C129O87N10H212,[M+H2],2
H9N5S2,C129O87N10H212,[M+H3],3
H9N5S2F1,C135O91N10H222,[M+H1],1
H9N5S2F1,C135O91N10H222,[M+H2],2
H9N5S2F1,C135O91N10H222,[M+H3],3
H9N5S2F2,C141O95N10H232,[M+H1],1
H9N5S2F2,C141O95N10H232,[M+H2],2
H9N5S2F2,C141O95N10H232,[M+H3],3
H9N5S2F3,C147O99N10H242,[M+H1],1
H9N5S2F3,C147O99N10H242,[M+H2],2
H9N5S2F3,C147O99N10H242,[M+H3],3
H9N5S2F4,C153O103N10H252,[M+H1],1
H9N5S2F4,C153O103N10H252,[M+H2],2
H9N5S2F4,C153O103N10H252,[M+H3],3
H9N5S3,C140O95N11H229,[M+H1],1
H9N5S3,C140O95N11H229,[M+H2],2
H9N5S3,C140O95N11H229,[M+H3],3
H9N5S3F1,C146O99N11H239,[M+H1],1
H9N5S3F1,C146O99N11H239,[M+H2],2
H9N5S3F1,C146O99N11H239,[M+H3],3
H9N5S3F2,C152O103N11H249,[M+H1],1
H9N5S3F2,C152O103N11H249,[M+H2],2
H9N5S3F2,C152O103N11H249,[M+H3],3
H9N5S3F3,C158O107N11H259,[M+H1],1
H9N5S3F3,C158O107N11H259,[M+H2],2
H9N5S3F3,C158O107N11H259,[M+H3],3
H9N5S3F4,C164O111N11H269,[M+H1],1
H9N5S3F4,C164O111N11H269,[M+H2],2
H9N5S3F4,C164O111N11H269,[M+H3],3
H9N5S4,C151O103N12H246,[M+H1],1
H9N5S4,C151O103N12H246,[M+H2],2
H9N5S4,C151O103N12H246,[M+H3],3
H9N5S4F1,C157O107N12H256,[M+H1],1
H9N5S4F1,C157O107N12H256,[M+H2],2
H9N5S4F1,C157O107N12H256,[M+H3],3
H9N5S4F2,C163O111N12H266,[M+H1],1
H9N5S4F2,C163O111N12H266,[M+H2],2
H9N5S4F2,C163O111N12H266,[M+H3],3
H9N5S4F3,C169O115N12H276,[M+H1],1
H9N5S4F3,C169O115N12H276,[M+H2],2
H9N5S4F3,C169O115N12H276,[M+H3],3
H9N5S4F4,C175O119N12H286,[M+H1],1
H9N5S4F4,C175O119N12H286,[M+H2],2
H9N5S4F4,C175O119N12H286,[M+H3],3
H9N6,C115O76N9H191,[M+H1],1
H9N6,C115O76N9H191,[M+H2],2
H9N6,C115O76N9H191,[M+H3],3
H9N6F1,C121O80N9H201,[M+H1],1
